K_1	K_2	mean_K	sd_K	tot_K	H_1	H_2	Hsd_1	Hsd_2	mean_H	sd_H	tot_H	GW_1	GW_2	GWsd_1	GWsd_2	mean_GW	sd_GW	tot_GW	NGW_1	NGW_2	NGWsd_1	NGWsd_2	mean_NGW	sd_NGW	R_1	R_2	Rsd_1	Rsd_2	mean_R	sd_R	tot_R	FST_2_1	DMUSQ_2_1		NPOP1	NPOP2	RSANC	Nem	T2	T1	MUTRATE	GEOM	MIG21
21.2	25.2	23.2	2.82843	37.7	0.96996	0.972564	0.00694842	0.0129227	0.971262	0.00184161	0.976017	0.264242	0.301419	0.185253	0.180767	0.28283	0.0262882	0.395046	0.234698	0.271477	0.163054	0.162662	0.253088	0.0260065	126.8	118.2	98.0179	74.7184	122.5	6.08112	134.7	0.0093805	2009.31		184144	103230	94.1336126	6.4617144	117869	94476	2.24293e-04	0.1079748	6.25953e-05
14.5	21	17.75	4.59619	33.7	0.9125	0.954872	0.0431282	0.0116534	0.933686	0.0299614	0.966706	0.263321	0.451389	0.232522	0.220585	0.357355	0.132985	0.370863	0.161972	0.22996	0.0811737	0.0937099	0.195966	0.0480748	87.4	79.1	63.5456	85.2427	83.25	5.86899	111.9	0.0612727	2425.84		9947	9894	17.4810916	8.3247433	26392	94113	4.91600e-04	0.2956246	8.41393e-04
22.8	28.9	25.85	4.31335	45.9	0.976411	0.978718	0.0102385	0.0112288	0.977565	0.00163105	0.983646	0.163235	0.184913	0.063522	0.0604088	0.174074	0.0153288	0.285938	0.145067	0.178253	0.0599755	0.0547903	0.16166	0.0234661	156.3	171	54.6444	56.7705	163.65	10.3945	176.1	0.0120063	1778.17		9514	162202	26.8731487	5.2036625	15477	245207	8.11900e-04	0.2089387	3.20814e-05
25.4	26.4	25.9	0.707107	43.9	0.98246	0.972821	0.00860897	0.0065873	0.97764	0.00681592	0.981338	0.0850327	0.0898653	0.0509037	0.0536072	0.087449	0.00341715	0.134991	0.0765961	0.0811351	0.0358304	0.0418709	0.0788656	0.00320956	368.7	367.9	151.108	150.132	368.3	0.565685	387.5	0.0086084	4930.65		72139	32626	1.9661053	0.1202646	83364	59092	9.47162e-04	0.1189685	3.68616e-06
18.3	16.9	17.6	0.989949	25	0.952419	0.937436	0.0118402	0.0135787	0.944928	0.0105949	0.951956	0.408609	0.647724	0.128828	0.158384	0.528166	0.16908	0.527937	0.387632	0.357824	0.108644	0.0987027	0.372728	0.0210779	47.4	28.3	14.6151	15.2611	37.85	13.5057	49.3	0.016404	46.6573		97100	28142	81.6741692	5.9598299	66293	92446	1.85412e-04	0.2439617	2.11777e-04
24	24.5	24.25	0.353553	42.1	0.978629	0.96859	0.00767425	0.0151965	0.973609	0.00709885	0.979969	0.144555	0.206254	0.07807	0.11886	0.175405	0.0436278	0.242464	0.142246	0.143164	0.0753284	0.0760576	0.142705	0.000648693	214.1	154.6	113.338	79.9294	184.35	42.0729	215.9	0.0140284	1593.13		127119	1349	50.4144950	9.5818314	55634	50856	4.76663e-04	0.1499623	0.0071029
21.5	24	22.75	1.76777	37.6	0.971573	0.965256	0.00541401	0.0150297	0.968414	0.00446621	0.973748	0.198778	0.377225	0.198682	0.267952	0.288002	0.126181	0.288542	0.174167	0.189708	0.150238	0.159654	0.181937	0.0109891	223.5	122.6	175.563	104.26	173.05	71.3471	230.4	0.01161	1857.24		94689	61184	42.3644944	0.2746930	104301	116481	4.62298e-04	0.2651680	4.48962e-06
17.8	18.6	18.2	0.565685	26.8	0.952016	0.948333	0.016836	0.0115472	0.950175	0.00260413	0.957981	0.283141	0.241153	0.266755	0.126542	0.262147	0.0296903	0.31028	0.20074	0.22004	0.0886332	0.129271	0.21039	0.0136475	99	93.9	60.3361	49.1651	96.45	3.60624	107.1	0.0165727	200.369		6229	160218	82.9748230	3.4703621	106006	192079	9.50475e-04	0.1658904	2.16603e-05
24.7	27.6	26.15	2.05061	47.3	0.982863	0.978333	0.00595432	0.00805076	0.980598	0.00320289	0.986228	0.14325	0.191075	0.0522939	0.0776411	0.167163	0.0338173	0.254556	0.134621	0.147186	0.0460636	0.0439795	0.140903	0.00888434	196	170.5	77.5357	82.6186	183.25	18.0312	204.3	0.0118536	1213.35		82774	33630	32.9480164	2.5240512	116484	57921	6.03648e-04	0.2594569	7.50536e-05
16.3	26	21.15	6.85894	35.7	0.938105	0.972436	0.0219018	0.0110162	0.95527	0.0242757	0.971009	0.191388	0.15566	0.223195	0.120596	0.173524	0.0252634	0.196398	0.0859662	0.146567	0.0488483	0.122715	0.116267	0.0428511	175.7	226.8	116.163	116.606	201.25	36.1332	244	0.0279377	1486.64		67613	192488	9.8153017	0.9583295	18404	81267	2.27926e-04	0.2069072	4.97865e-06
15.6	22.1	18.85	4.59619	33.2	0.933266	0.957692	0.0251357	0.0111111	0.945479	0.0172719	0.96651	0.294537	0.374757	0.229002	0.182761	0.334647	0.056724	0.363609	0.17947	0.252955	0.11181	0.160262	0.216213	0.0519619	77.4	81.7	49.1849	62.5638	79.55	3.04056	115.2	0.0397623	1589.51		26496	43615	18.3167495	3.1974767	48615	43243	2.34884e-04	0.1311583	7.33114e-05
16.4	15.4	15.9	0.707107	20.9	0.943145	0.928846	0.0157264	0.0257352	0.935996	0.0101109	0.936424	0.56794	0.705981	0.19122	0.230192	0.63696	0.0976093	0.675712	0.534449	0.497395	0.181726	0.163246	0.515922	0.0262008	38.6	31.1	39.6238	37.9984	34.85	5.3033	40	0.00265251	35.8117		145367	129799	26.7866476	2.7771366	54801	215804	2.44180e-04	0.2676262	2.13957e-05
20.5	19.8	20.15	0.494975	31.3	0.967137	0.943974	0.0116032	0.0232115	0.955556	0.0163785	0.96471	0.322324	0.376064	0.0946853	0.169591	0.349194	0.0379998	0.467178	0.311918	0.297952	0.0933236	0.0851231	0.304935	0.00987517	68.2	59.7	23.3704	25.1796	63.95	6.01041	70.3	0.021457	92.2231		133735	108290	86.1067763	3.4895673	7203	23360	1.96905e-04	0.2877294	3.22243e-05
18.4	23.1	20.75	3.3234	37.7	0.953629	0.966026	0.0153249	0.011723	0.959827	0.00876573	0.976761	0.130555	0.179174	0.0694982	0.0824844	0.154865	0.0343789	0.246842	0.123646	0.153244	0.0675075	0.0808056	0.138445	0.020929	177.2	156.5	87.1981	82.3357	166.85	14.6371	187.5	0.0326295	1983.82		34787	41155	84.5177170	5.1464801	9778	57394	7.08372e-04	0.2749747	1.25051e-04
20.9	27.7	24.3	4.80833	47	0.968145	0.977692	0.00991349	0.0103486	0.972919	0.00675085	0.98529	0.0837694	0.129557	0.0401111	0.0714832	0.106663	0.0323768	0.169967	0.0751852	0.101484	0.0369411	0.052298	0.0883347	0.0185962	286.2	263.2	103.568	114.5	274.7	16.2635	321.4	0.0236827	11724.2		14950	36233	8.0757460	5.7033434	41361	20438	2.52327e-04	0.2150900	1.57407e-04
