S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1		NPOP1	NPOP2	RSANC	T1	MUTRATE
7	57	5	55	32	35.3553	62	0.126733	0.0612724	0.0940025	0.0462873	2.22857	15.1754	8.70198	9.15478	0.925211	139.128		49567	35282	98.7949140	40258	1.05567e-07
10	26	10	26	18	11.3137	36	-1.16596	0.262956	-0.4515	1.01039	2.13333	7.30154	4.71744	3.65447	0.991568	645.249		21896	2022	51.0490586	254074	7.60547e-08
27	43	24	40	35	11.3137	67	-0.0474386	0.887608	0.420085	0.661178	8.20952	13.9046	11.0571	4.02704	0.895573	112.854		45804	5638	77.5485271	490381	1.26385e-07
3	15	3	15	9	8.48528	18	0.894248	1.40878	1.15151	0.363829	1.2	5.52615	3.36308	3.05905	0.954821	87.3949		27460	34869	74.8037364	425284	1.58794e-07
42	18	42	18	30	16.9706	60	-0.890156	-0.550594	-0.720375	0.240106	10.2286	3.98462	7.10659	4.41514	0.951886	130.192		29018	41960	32.6242580	285997	1.05395e-07
23	11	23	11	17	8.48528	34	-0.160049	-0.198138	-0.179094	0.0269332	6.8	2.71077	4.75538	2.89152	0.974343	163.387		18077	29837	80.3513072	76996	8.87860e-08
19	11	18	10	15	5.65685	29	-2.15111	0.514881	-0.818112	1.88514	2.7619	3.32923	3.04557	0.40116	0.99027	321.159		11705	3018	43.3851849	148920	8.63142e-08
19	8	19	8	13.5	7.77817	27	-1.67242	-1.06756	-1.36999	0.427701	3.44762	1.38462	2.41612	1.45876	0.9945	386.672		20871	47903	58.9707043	356738	1.10567e-07
16	4	16	4	10	8.48528	20	0.290226	-0.85225	-0.281012	0.807852	5.27619	0.713846	2.99502	3.22606	0.965559	68.8564		49524	35284	30.2128188	425926	1.58863e-07
12	64	11	63	38	36.7696	75	0.608188	0.505873	0.55703	0.0723471	4.26667	18.9692	11.6179	10.3963	0.931162	197.033		22403	45039	31.2664526	493608	9.06888e-08
