S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1		NPOP1	NPOP2	RSANC	Nem	T2	T1	MUTRATE	MIG12	MIG21
3	6	2	5	4.5	2.12132	8	-0.0883243	-1.36125	-0.724787	0.900094	0.895238	0.849231	0.872234	0.0325321	0.138075	1.01026		48913	18428	85.9731217	7.5411575	72245	130045	7.34260e-08	1.54175e-04	4.09223e-04
1	1	0	0	1	0	1	1.37595	0.380877	0.878412	0.703621	0.514286	0.323077	0.418681	0.135205	0.0544243	0.438462		41074	30998	30.5282501	2.1487473	103302	272638	1.31683e-07	5.23140e-05	6.93189e-05
31	48	2	19	39.5	12.0208	50	0.332478	-0.563732	-0.115627	0.633716	10.2857	10.72	10.5029	0.307086	-0.00895425	10.4154		16965	44006	36.4584135	2.0371160	111270	10710	1.31818e-07	1.20078e-04	4.62918e-05
8	7	3	2	7.5	0.707107	10	-0.289904	-0.334664	-0.312284	0.0316504	2.26667	1.63385	1.95026	0.447472	0.0319697	2.00256		5220	17825	38.1698610	2.2803180	94603	464279	1.63382e-07	4.36843e-04	1.27928e-04
22	28	7	13	25	4.24264	35	1.07772	-0.688592	0.194565	1.24897	8.53333	5.96923	7.25128	1.81309	0.189557	8.82564		5929	13350	9.1097124	5.7656619	109934	365481	7.20601e-08	9.72451e-04	4.31885e-04
38	32	15	9	35	4.24264	47	0.256464	1.4357	0.846081	0.833845	12.3905	11.6154	12.0029	0.548073	0.119617	13.6077		17417	47478	61.3550076	7.6573159	50600	49124	1.67880e-07	4.39646e-04	1.61281e-04
54	63	13	22	58.5	6.36396	76	-1.58374	-1.22369	-1.40371	0.254591	10.5143	11.2738	10.8941	0.53709	0.102318	12.159		17611	42813	51.0832674	6.6090051	105950	78835	1.66068e-07	3.75277e-04	1.54369e-04
326	312	25	11	319	9.89949	337	0.654711	3.03167	1.84319	1.68077	115.048	144.086	129.567	20.5333	0.294089	185.672		25082	13190	49.6884262	1.2681471	98771	229331	1.08376e-07	5.05600e-05	9.61446e-05
7	19	7	19	13	8.48528	26	-0.00071983	-0.423617	-0.212168	0.299033	2.15238	4.38769	3.27004	1.5806	0.902078	36.3308		24565	6518	70.5258833	2.2237976	40551	224612	7.27092e-08	9.05271e-05	3.41178e-04
32	25	28	21	28.5	4.94975	53	-0.144471	0.962043	0.408786	0.782423	9.50476	8.27385	8.8893	0.870389	0.478521	16.8692		11404	10396	23.6147776	4.7199633	86939	58824	1.36744e-07	4.13887e-04	4.54017e-04
2	6	0	4	4	2.82843	6	0.62806	-0.816777	-0.0943585	1.02165	0.761905	1.13846	0.950183	0.266266	-0.0281029	0.928205		1866	10393	24.2567588	3.8732808	95488	66457	1.67517e-07	0.0020757	3.72682e-04
98	668	23	593	383	403.051	691	2.15323	1.64425	1.89874	0.359906	44.9524	247.12	146.036	142.954	0.675125	511.687		28509	46128	82.6418222	2.6164088	100491	115390	1.59137e-07	9.17748e-05	5.67206e-05
3	2	1	0	2.5	0.707107	3	0.157319	0.536448	0.346883	0.268085	0.971429	0.655385	0.813407	0.223477	-0.0150499	0.797436		47750	32084	52.1573393	6.5050714	66766	406872	1.57136e-07	1.36232e-04	2.02751e-04
5	2	3	0	3.5	2.12132	5	-0.824435	0.284965	-0.269735	0.784464	1.1619	0.593846	0.877875	0.401678	0.0425682	0.905128		13082	24826	8.9494209	3.5732477	111766	368801	1.66257e-07	2.73142e-04	1.43932e-04
93	83	16	6	88	7.07107	99	1.71945	0.232419	0.975934	1.05149	39.8381	23.0492	31.4437	11.8715	0.305948	44.0179		4934	18933	68.5292343	2.7523598	31318	67789	9.16257e-08	5.57835e-04	1.45374e-04
119	110	17	8	114.5	6.36396	127	1.66338	2.9389	2.30114	0.90193	50.4476	50.4338	50.4407	0.00973891	-0.0401224	48.4949		23173	13353	23.2964112	8.3099472	102668	440307	1.53502e-07	3.58605e-04	6.22328e-04
106	117	7	18	111.5	7.77817	124	2.66212	1.51258	2.08735	0.812847	52.381	42.4738	47.4274	7.00538	0.0526255	49.841		30239	44571	34.7848283	0.5055896	119329	483423	1.56536e-07	1.67198e-05	1.13435e-05
