S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1	
22	11	15	4	16.5	7.77817	26	-1.61699	-0.27618	-0.946583	0.948093	4.11429	2.64308	3.37868	1.0403	0.0264593	3.44359	
486	486	8	8	486	0	494	0.514591	0.246971	0.380781	0.189235	166.762	135.246	151.004	22.285	-0.0464431	144.044	
2	8	1	7	5	4.24264	9	0.220643	-0.476904	-0.12813	0.49324	0.666667	1.77846	1.22256	0.786158	0.0674812	1.33846	
27	32	11	16	29.5	3.53553	43	-0.248926	-0.570936	-0.409931	0.227695	7.80952	7.10154	7.45553	0.500621	0.0884435	8.15897	
97	101	0	4	99	2.82843	101	1.39512	2.55931	1.97722	0.823208	39.3333	43.7785	41.5559	3.14318	0.124718	47.6308	
24	24	12	12	24	0	36	0.562342	-0.10891	0.226716	0.474647	8.38095	6.10154	7.24125	1.61179	0.384485	11.5308	
334	353	5	24	343.5	13.435	358	-2.28998	1.79038	-0.249803	2.88525	49.7333	134.111	91.9221	59.6639	0.0773486	101.846	
11	22	3	14	16.5	7.77817	25	0.203843	-0.650223	-0.22319	0.603916	3.5619	4.72923	4.14557	0.825424	0.129308	4.80256	
11	284	1	274	147.5	193.04	285	1.61443	-0.626299	0.494067	1.58444	4.8	62.6954	33.7477	40.9382	0.0459803	36.6051	
7	13	2	8	10	4.24264	15	-0.494598	-1.01585	-0.755226	0.368583	1.85714	2.39077	2.12396	0.377331	0.183414	2.62564	
18	51	4	37	34.5	23.3345	55	0.787588	-1.22476	-0.218586	1.42294	6.60952	9.08615	7.84784	1.75124	0.0380267	8.20769	
4	5	0	1	4.5	0.707107	5	-1.51811	-0.870708	-1.19441	0.457785	0.647619	0.907692	0.777656	0.1839	-0.0316817	0.75641	
12	23	3	14	17.5	7.77817	26	-1.20148	-0.817669	-1.00957	0.271393	2.55238	4.67077	3.61158	1.49793	0.0375724	3.79487	
2	4	0	2	3	1.41421	4	-0.0238069	-0.860092	-0.441949	0.591343	0.609524	0.710769	0.660147	0.0715913	0.156962	0.787179	
58	68	10	20	63	7.07107	78	0.0740425	0.712511	0.393277	0.451465	18.1429	21.1015	19.6222	2.0921	0.119099	22.3744	
18	16	8	6	17	1.41421	24	0.270637	-0.897858	-0.31361	0.826251	5.90476	3.11692	4.51084	1.9713	0.0403358	4.64359	
10	4	7	1	7	4.24264	11	-0.175877	-1.16594	-0.670908	0.700079	2.93333	0.590769	1.76205	1.65644	0.305846	2.35897	
30	34	7	11	32	2.82843	41	-2.14067	0.235586	-0.952544	1.68027	4.53333	9.47077	7.00205	3.49129	0.0244818	7.26667	
2	3	1	2	2.5	0.707107	4	0.62806	0.292873	0.460466	0.237013	0.761905	0.88	0.820952	0.0835059	0.102142	0.917949	
15	20	6	11	17.5	3.53553	26	0.689164	-0.825865	-0.0683504	1.07129	5.40952	4.03385	4.72168	0.972751	0.11137	5.26923	
392	421	10	39	406.5	20.5061	431	1.54137	1.74303	1.6422	0.142601	162.381	158.578	160.48	2.68877	-0.0185101	157.518	
5	10	0	5	7.5	3.53553	10	-0.406585	-0.621275	-0.51393	0.151808	1.35238	2.12308	1.73773	0.544964	0.0163081	1.77949	
5	37	3	35	21	22.6274	40	-1.15871	0.485659	-0.336528	1.16275	1.00952	10.9477	5.97861	7.02735	0.315766	9.52821	
25	24	9	8	24.5	0.707107	33	0.251074	-1.08655	-0.417738	0.945843	8.15238	4.41538	6.28388	2.64246	0.160538	7.33077	
7	4	3	0	5.5	2.12132	7	0.540953	2.50422	1.52259	1.38824	2.47619	2.03077	2.25348	0.31496	0.00426041	2.25641	
877	876	3	2	876.5	0.707107	879	1.25348	-0.0791788	0.587149	0.94233	345.61	225.015	285.312	85.2729	0.0912525	310.51	
