K_1	K_2	mean_K	sd_K	tot_K	H_1	H_2	Hsd_1	Hsd_2	mean_H	sd_H	tot_H	GW_1	GW_2	GWsd_1	GWsd_2	mean_GW	sd_GW	tot_GW	NGW_1	NGW_2	NGWsd_1	NGWsd_2	mean_NGW	sd_NGW	R_1	R_2	Rsd_1	Rsd_2	mean_R	sd_R	tot_R	FST_2_1	DMUSQ_2_1	
19.9	24.8	22.35	3.46482	33.9	0.960685	0.969359	0.020122	0.0170024	0.965022	0.00613308	0.968545	0.37929	0.427857	0.101183	0.112673	0.403573	0.0343422	0.55399	0.332286	0.411803	0.0820761	0.0990721	0.372044	0.056227	56.4	62.8	21.9859	26.8196	59.6	4.52548	64.3	0.00622094	68.7433	
25.3	28	26.65	1.90919	45.4	0.983468	0.979231	0.00759141	0.00898046	0.981349	0.00299599	0.983255	0.108646	0.124096	0.054109	0.0891097	0.116371	0.0109249	0.166375	0.0935589	0.101811	0.0381298	0.0360674	0.0976848	0.0058349	297.1	306.6	184.047	187.893	301.85	6.71751	320.9	0.00435274	1546.82	
20.7	25.8	23.25	3.60624	37	0.967742	0.971282	0.0124283	0.00942499	0.969512	0.00250324	0.972926	0.105439	0.129277	0.0726175	0.0880588	0.117358	0.0168566	0.180678	0.101879	0.127965	0.0681959	0.0869868	0.114922	0.0184454	247.1	250.3	100.71	101.179	248.7	2.26274	252.5	0.00657115	1116.14	
16.2	21	18.6	3.39411	26.2	0.944355	0.956154	0.0199632	0.0199697	0.950254	0.00834316	0.954225	0.531594	0.595417	0.147751	0.106832	0.563506	0.0451303	0.710667	0.452595	0.564305	0.122802	0.0907163	0.50845	0.0789905	31.9	35.5	10.2247	10.9671	33.7	2.54558	37.2	0.00687538	13.6464	
21.1	22.1	21.6	0.707107	32.3	0.969355	0.963462	0.0124935	0.00876329	0.966408	0.00416719	0.969757	0.492137	0.497164	0.126448	0.112718	0.494651	0.00355467	0.646011	0.427564	0.448244	0.0950232	0.0882522	0.437904	0.0146231	46.1	46.6	19.5644	17.0698	46.35	0.353553	51.2	0.00756138	114.178	
13.6	16.4	15	1.9799	19.8	0.904435	0.932308	0.0321768	0.0158039	0.918372	0.0197086	0.928638	0.57743	0.645694	0.2145	0.240412	0.611562	0.04827	0.694801	0.483226	0.591967	0.190644	0.22332	0.537597	0.0768915	29.3	31.9	24.3632	25.1416	30.6	1.83848	34.3	0.0184803	7.36676	
10.5	18.7	14.6	5.79828	21.6	0.878427	0.944487	0.0388863	0.0320601	0.911457	0.0467113	0.927934	0.423345	0.207045	0.325682	0.21847	0.315195	0.152947	0.234747	0.128869	0.200908	0.142588	0.202739	0.164888	0.050939	70.4	178.1	83.0237	130.832	124.25	76.1554	178.5	0.0269665	631.829	
17.3	15.2	16.25	1.48492	22.7	0.943145	0.92141	0.0247801	0.0268725	0.932278	0.0153689	0.938028	0.411777	0.430096	0.176496	0.215044	0.420937	0.0129536	0.498763	0.385683	0.3364	0.168046	0.12758	0.361041	0.0348485	48.5	42.9	22.3868	21.9568	45.7	3.9598	50.9	0.0147757	32.0242	
17.5	15.8	16.65	1.20208	24.2	0.951613	0.921026	0.00978509	0.0194358	0.936319	0.0216285	0.944014	0.338122	0.414103	0.151358	0.1928	0.376113	0.0537265	0.454238	0.318444	0.30974	0.127926	0.174895	0.314092	0.00615408	62.8	47.9	33.9699	28.5324	55.35	10.5359	64.7	0.0197769	95.6596	
22.1	26.3	24.2	2.96985	40.9	0.971169	0.975513	0.0131367	0.00684962	0.973341	0.00307129	0.978834	0.103856	0.133301	0.0467121	0.0971412	0.118579	0.0208202	0.178136	0.0954394	0.118247	0.0415347	0.0723956	0.106843	0.0161273	264.9	263.1	147.209	149.461	264	1.27279	281.5	0.0106429	3506.37	
23.6	27	25.3	2.40416	44.1	0.978427	0.975769	0.00936289	0.0153424	0.977098	0.00187962	0.982277	0.1633	0.172193	0.131261	0.107028	0.167746	0.00628847	0.244173	0.141254	0.144231	0.119824	0.0795554	0.142743	0.00210507	219.9	238.2	153.093	170.492	229.05	12.9401	256.1	0.0107782	2635.13	
