S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1	
9	230	6	227	119.5	156.271	236	1.10145	2.82706	1.96425	1.22019	3.58095	103.237	53.4089	70.4674	0.610011	160.374	
7	33	7	33	20	18.3848	40	-0.82916	-0.642719	-0.73594	0.131834	1.65714	7.16	4.40857	3.89111	0.98132	276.846	
11	0	11	0	5.5	7.77817	11	2.30888	0	1.15444	1.63262	5.40952	0	2.70476	3.82511	0.972948	72.4667	
26	34	26	34	30	5.65685	60	-0.713699	-0.430072	-0.571886	0.200555	6.62857	7.88615	7.25736	0.889245	0.938411	120.556	
6	9	6	9	7.5	2.12132	15	-0.212358	0.857272	0.322457	0.756342	1.73333	2.98769	2.36051	0.886966	0.994431	455.51	
41	21	41	21	31	14.1421	62	0.645515	0.07142	0.358468	0.405947	14.5143	5.61231	10.0633	6.29465	0.89293	83.3897	
8	29	8	29	18.5	14.8492	37	0.137739	1.01342	0.575579	0.619199	2.55238	9.68	6.11619	5.03999	0.958196	169.451	
0	20	0	20	10	14.1421	20	0	-1.16474	-0.582368	0.823593	0	3.53846	1.76923	2.50207	0.986977	173.731	
42	6	42	6	24	25.4558	48	1.43716	-0.897869	0.269647	1.65112	17.2571	1.09538	9.17626	11.4281	0.964079	194.051	
15	40	14	39	27.5	17.6777	54	-1.75043	-0.680884	-1.21566	0.756282	2.59048	8.59385	5.59216	4.24502	0.966804	193.203	
13	22	13	22	17.5	6.36396	35	-0.859839	0.78845	-0.0356943	1.16552	3.12381	7.02154	5.07267	2.75611	0.973287	209.977	
7	30	7	30	18.5	16.2635	37	0.700268	0.509742	0.605005	0.134722	2.57143	8.94154	5.75648	4.50435	0.976227	279.131	
23	3	23	3	13	14.1421	26	0.475246	-0.139319	0.167963	0.434563	7.88571	0.741538	4.31363	5.0517	0.984426	213.187	
43	38	39	34	40.5	3.53553	77	1.81424	0.926368	1.37031	0.627822	18.8286	12.4062	15.6174	4.54134	0.949671	293.121	
2	7	2	7	4.5	3.53553	9	0.709543	-0.740283	-0.0153699	1.02518	0.780952	1.39077	1.08586	0.431206	0.985866	82.8308	
17	42	14	39	29.5	17.6777	56	1.28815	3.24053	2.26434	1.38054	6.89524	20.4185	13.6568	9.56236	0.378174	23.3179	
17	40	17	40	28.5	16.2635	57	-1.77339	1.49352	-0.139932	2.31005	2.93333	14.6246	8.77897	8.26698	0.973972	399.156	
11	19	11	19	15	5.65685	30	0.572766	-1.05175	-0.239494	1.14871	3.88571	3.51077	3.69824	0.265126	0.908446	39.8641	
6	11	6	11	8.5	3.53553	17	-0.826682	0.365892	-0.230395	0.843277	1.40952	3.2	2.30476	1.26606	0.930151	36.3846	
10	36	10	36	23	18.3848	46	-0.883077	-0.733928	-0.808502	0.105464	2.3619	7.59077	4.97634	3.69737	0.991266	653.513	
18	18	17	17	18	0	35	0.829503	-1.18438	-0.177437	1.42403	6.66667	3.14154	4.9041	2.49264	0.991986	550.331	
87	48	84	45	67.5	27.5772	132	-0.652531	1.57326	0.460364	1.57387	22.7619	17.7662	20.264	3.53253	0.937414	313.156	
5	51	5	51	28	32.5269	56	-1.40942	-1.27408	-1.34175	0.0957016	0.895238	8.91385	4.90454	5.67001	0.989128	554.113	
